,Date,Conversion Rate,value
113,2020-10-23,Display | USA | EN,11.11%
114,2020-10-23,Search | Brand | Brazil | EN,0.00%
115,2020-10-23,Search | Brand | UK | EN,25.00%
116,2020-10-24,Search | Brand | USA | EN,10.13%
117,2020-10-24,Search | Generic | USA | EN,8.51%
118,2020-10-24,Display | USA | EN,11.11%
119,2020-10-24,Search | Brand | Brazil | EN,0.00%
120,2020-10-24,Search | Brand | UK | EN,0.00%
121,2020-10-25,Search | Brand | USA | EN,10.91%
122,2020-10-25,Search | Generic | USA | EN,19.40%
123,2020-10-25,Display | USA | EN,0.00%
124,2020-10-25,Search | Brand | Brazil | EN,0.00%
125,2020-10-25,Search | Brand | UK | EN,6.67%
126,2020-10-26,Search | Brand | USA | EN,16.33%
127,2020-10-26,Search | Generic | USA | EN,9.21%
128,2020-10-26,Display | USA | EN,42.86%
129,2020-10-26,Search | Brand | Brazil | EN,0.00%
130,2020-10-26,Search | Brand | UK | EN,0.00%
131,2020-10-27,Search | Brand | USA | EN,9.72%
132,2020-10-27,Search | Generic | USA | EN,3.77%
133,2020-10-27,Display | USA | EN,50.00%
134,2020-10-27,Search | Brand | Brazil | EN,0.00%
135,2020-10-27,Search | Brand | UK | EN,6.67%
136,2020-10-28,Search | Brand | USA | EN,8.70%
137,2020-10-28,Search | Generic | USA | EN,8.00%
138,2020-10-28,Display | USA | EN,0.00%
139,2020-10-28,Search | Brand | Brazil | EN,0.00%
140,2020-10-28,Search | Brand | UK | EN,0.00%
141,2020-10-29,Search | Brand | USA | EN,12.64%
142,2020-10-29,Search | Generic | USA | EN,9.23%
143,2020-10-29,Display | USA | EN,10.00%
144,2020-10-29,Search | Brand | Brazil | EN,0.00%
145,2020-10-29,Search | Brand | UK | EN,0.00%
146,2020-10-30,Search | Brand | USA | EN,10.17%
147,2020-10-30,Search | Generic | USA | EN,8.33%
148,2020-10-30,Display | USA | EN,16.67%
149,2020-10-30,Search | Brand | Brazil | EN,0.00%
150,2020-10-30,Search | Brand | UK | EN,0.00%
151,2020-10-31,Search | Brand | USA | EN,2.38%
152,2020-10-31,Search | Generic | USA | EN,10.20%
153,2020-10-31,Display | USA | EN,14.29%
154,2020-10-31,Search | Brand | Brazil | EN,0.00%
155,2020-10-31,Search | Brand | UK | EN,0.00%
