,Date,CTR,value
51,2020-09-11,Search | Brand | USA | EN,29.95
52,2020-09-11,Search | Generic | USA | EN,1.67
53,2020-09-11,Search | Brand | Brazil | EN ,17.8
54,2020-09-11,Display | USA | EN ,1.61
55,2020-09-11,Non-Brand Prospection ,4.62
56,2020-09-12,Search | Brand | USA | EN,31.4
57,2020-09-12,Search | Generic | USA | EN,2.09
58,2020-09-12,Search | Brand | Brazil | EN ,14.29
59,2020-09-12,Display | USA | EN ,2.61
60,2020-09-12,Non-Brand Prospection ,3.93
61,2020-09-13,Search | Brand | USA | EN,30.86
62,2020-09-13,Search | Generic | USA | EN,2.41
63,2020-09-13,Search | Brand | Brazil | EN ,15.29
64,2020-09-13,Display | USA | EN ,1.15
65,2020-09-13,Non-Brand Prospection ,4.64
66,2020-09-14,Search | Brand | USA | EN,32.65
67,2020-09-14,Search | Generic | USA | EN,2.14
68,2020-09-14,Search | Brand | Brazil | EN ,19.38
69,2020-09-14,Display | USA | EN ,0.82
70,2020-09-14,Non-Brand Prospection ,4.39
71,2020-09-15,Search | Brand | USA | EN,37.33
72,2020-09-15,Search | Generic | USA | EN,1.87
73,2020-09-15,Search | Brand | Brazil | EN ,20.59
74,2020-09-15,Display | USA | EN ,0.77
75,2020-09-15,Non-Brand Prospection ,3.19
76,2020-09-16,Search | Brand | USA | EN,32.35
77,2020-09-16,Search | Generic | USA | EN,2.12
78,2020-09-16,Search | Brand | Brazil | EN ,16.91
79,2020-09-16,Display | USA | EN ,0.65
80,2020-09-16,Non-Brand Prospection ,4.3
81,2020-09-17,Search | Brand | USA | EN,32.84
82,2020-09-17,Search | Generic | USA | EN,2.3
83,2020-09-17,Search | Brand | Brazil | EN ,15.15
84,2020-09-17,Display | USA | EN ,1.65
85,2020-09-17,Non-Brand Prospection ,4.27
86,2020-09-18,Search | Brand | USA | EN,35.06
87,2020-09-18,Search | Generic | USA | EN,1.71
88,2020-09-18,Search | Brand | Brazil | EN ,20.2
89,2020-09-18,Display | USA | EN ,0.75
90,2020-09-18,Non-Brand Prospection ,4.18
91,2020-09-19,Search | Brand | USA | EN,38.03
92,2020-09-19,Search | Generic | USA | EN,2.55
93,2020-09-19,Search | Brand | Brazil | EN ,20.72
94,2020-09-19,Display | USA | EN ,0.78
95,2020-09-19,Non-Brand Prospection ,4.65
96,2020-09-20,Search | Brand | USA | EN,31.4
97,2020-09-20,Search | Generic | USA | EN,1.83
98,2020-09-20,Search | Brand | Brazil | EN ,11.7
99,2020-09-20,Display | USA | EN ,0.78
100,2020-09-20,Non-Brand Prospection ,3.95
101,2020-09-21,Search | Brand | USA | EN,32.37
102,2020-09-21,Search | Generic | USA | EN,2.38
103,2020-09-21,Search | Brand | Brazil | EN ,17.24
104,2020-09-21,Display | USA | EN ,0.99
105,2020-09-21,Non-Brand Prospection ,4.71
106,2020-09-22,Search | Brand | USA | EN,36.1
107,2020-09-22,Search | Generic | USA | EN,1.85
108,2020-09-22,Search | Brand | Brazil | EN ,16.67
109,2020-09-22,Display | USA | EN ,0.54
110,2020-09-22,Non-Brand Prospection ,3.67
111,2020-09-23,Search | Brand | USA | EN,37.5
112,2020-09-23,Search | Generic | USA | EN,2.88
113,2020-09-23,Search | Brand | Brazil | EN ,21.43
114,2020-09-23,Display | USA | EN ,0.87
115,2020-09-23,Non-Brand Prospection ,4.48
116,2020-09-24,Search | Brand | USA | EN,48.34
117,2020-09-24,Search | Generic | USA | EN,2.73
118,2020-09-24,Search | Brand | Brazil | EN ,25.32
119,2020-09-24,Display | USA | EN ,0.7
120,2020-09-24,Non-Brand Prospection ,0
121,2020-09-25,Search | Brand | USA | EN,47.45
122,2020-09-25,Search | Generic | USA | EN,2.57
123,2020-09-25,Search | Brand | Brazil | EN ,30.36
124,2020-09-25,Display | USA | EN ,0.54
125,2020-09-25,Non-Brand Prospection ,0
126,2020-09-26,Search | Brand | USA | EN,35.19
127,2020-09-26,Search | Generic | USA | EN,3.7
128,2020-09-26,Search | Brand | Brazil | EN ,24
129,2020-09-26,Display | USA | EN ,0.72
130,2020-09-26,Non-Brand Prospection ,0
131,2020-09-27,Search | Brand | USA | EN,41.58
132,2020-09-27,Search | Generic | USA | EN,2.7
133,2020-09-27,Search | Brand | Brazil | EN ,41.03
134,2020-09-27,Display | USA | EN ,0.71
135,2020-09-27,Non-Brand Prospection ,0
136,2020-09-28,Search | Brand | USA | EN,42.14
137,2020-09-28,Search | Generic | USA | EN,2.27
138,2020-09-28,Search | Brand | Brazil | EN ,31.37
139,2020-09-28,Display | USA | EN ,1.03
140,2020-09-28,Non-Brand Prospection ,0
141,2020-09-29,Search | Brand | USA | EN,50.31
142,2020-09-29,Search | Generic | USA | EN,2.04
143,2020-09-29,Search | Brand | Brazil | EN ,26
144,2020-09-29,Display | USA | EN ,0.99
145,2020-09-29,Non-Brand Prospection ,0
146,2020-09-30,Search | Brand | USA | EN,44.44
147,2020-09-30,Search | Generic | USA | EN,2.51
148,2020-09-30,Search | Brand | Brazil | EN ,38.3
149,2020-09-30,Display | USA | EN ,0.46
150,2020-09-30,Non-Brand Prospection ,0
