,Date,Impressions,value
127,2020-09-26,Search | Generic | USA | EN,"1,377"
128,2020-09-26,Non-Brand Prospection,0
129,2020-09-26,Search | Brand | Brazil | EN,25
130,2020-09-26,Display | USA | EN,"6,808"
131,2020-09-27,Search | Brand | USA | EN,101
132,2020-09-27,Search | Generic | USA | EN,"1,368"
133,2020-09-27,Non-Brand Prospection,0
134,2020-09-27,Search | Brand | Brazil | EN,39
135,2020-09-27,Display | USA | EN,"3,660"
136,2020-09-28,Search | Brand | USA | EN,159
137,2020-09-28,Search | Generic | USA | EN,"1,803"
138,2020-09-28,Non-Brand Prospection,0
139,2020-09-28,Search | Brand | Brazil | EN,51
140,2020-09-28,Display | USA | EN,"5,895"
141,2020-09-29,Search | Brand | USA | EN,163
142,2020-09-29,Search | Generic | USA | EN,"2,012"
143,2020-09-29,Non-Brand Prospection,0
144,2020-09-29,Search | Brand | Brazil | EN,50
145,2020-09-29,Display | USA | EN,"6,439"
146,2020-09-30,Search | Brand | USA | EN,135
147,2020-09-30,Search | Generic | USA | EN,"1,990"
148,2020-09-30,Non-Brand Prospection,0
149,2020-09-30,Search | Brand | Brazil | EN,47
150,2020-09-30,Display | USA | EN,"8,347"
