,Date,Impressions,value
80,2020-10-16,Search | Brand | Brazil | EN,0
81,2020-10-17,Search | Brand | USA | EN,133
82,2020-10-17,Search | Generic | USA | EN,"2,097"
83,2020-10-17,Display | USA | EN,"2,182"
84,2020-10-17,Search | Brand | UK | EN,89
85,2020-10-17,Search | Brand | Brazil | EN,0
86,2020-10-18,Search | Brand | USA | EN,169
87,2020-10-18,Search | Generic | USA | EN,"2,187"
88,2020-10-18,Display | USA | EN,"1,897"
89,2020-10-18,Search | Brand | UK | EN,40
90,2020-10-18,Search | Brand | Brazil | EN,0
91,2020-10-19,Search | Brand | USA | EN,226
92,2020-10-19,Search | Generic | USA | EN,"2,334"
93,2020-10-19,Display | USA | EN,"2,277"
94,2020-10-19,Search | Brand | UK | EN,45
95,2020-10-19,Search | Brand | Brazil | EN,0
96,2020-10-20,Search | Brand | USA | EN,237
97,2020-10-20,Search | Generic | USA | EN,"2,526"
98,2020-10-20,Display | USA | EN,"2,735"
99,2020-10-20,Search | Brand | UK | EN,42
100,2020-10-20,Search | Brand | Brazil | EN,0
101,2020-10-21,Search | Brand | USA | EN,181
102,2020-10-21,Search | Generic | USA | EN,"2,497"
103,2020-10-21,Display | USA | EN,"1,903"
104,2020-10-21,Search | Brand | UK | EN,47
105,2020-10-21,Search | Brand | Brazil | EN,0
106,2020-10-22,Search | Brand | USA | EN,191
107,2020-10-22,Search | Generic | USA | EN,"2,688"
108,2020-10-22,Display | USA | EN,"2,722"
109,2020-10-22,Search | Brand | UK | EN,26
110,2020-10-22,Search | Brand | Brazil | EN,0
111,2020-10-23,Search | Brand | USA | EN,199
112,2020-10-23,Search | Generic | USA | EN,"2,430"
113,2020-10-23,Display | USA | EN,"2,337"
114,2020-10-23,Search | Brand | UK | EN,12
115,2020-10-23,Search | Brand | Brazil | EN,0
116,2020-10-24,Search | Brand | USA | EN,174
117,2020-10-24,Search | Generic | USA | EN,"2,278"
118,2020-10-24,Display | USA | EN,"1,676"
119,2020-10-24,Search | Brand | UK | EN,19
120,2020-10-24,Search | Brand | Brazil | EN,0
121,2020-10-25,Search | Brand | USA | EN,182
122,2020-10-25,Search | Generic | USA | EN,"2,408"
123,2020-10-25,Display | USA | EN,529
124,2020-10-25,Search | Brand | UK | EN,34
125,2020-10-25,Search | Brand | Brazil | EN,0
126,2020-10-26,Search | Brand | USA | EN,272
127,2020-10-26,Search | Generic | USA | EN,"2,559"
128,2020-10-26,Display | USA | EN,791
129,2020-10-26,Search | Brand | UK | EN,9
130,2020-10-26,Search | Brand | Brazil | EN,0
131,2020-10-27,Search | Brand | USA | EN,267
132,2020-10-27,Search | Generic | USA | EN,"2,873"
133,2020-10-27,Display | USA | EN,"1,002"
134,2020-10-27,Search | Brand | UK | EN,23
135,2020-10-27,Search | Brand | Brazil | EN,0
136,2020-10-28,Search | Brand | USA | EN,239
137,2020-10-28,Search | Generic | USA | EN,"3,110"
138,2020-10-28,Display | USA | EN,"1,561"
139,2020-10-28,Search | Brand | UK | EN,14
140,2020-10-28,Search | Brand | Brazil | EN,0
141,2020-10-29,Search | Brand | USA | EN,228
142,2020-10-29,Search | Generic | USA | EN,"3,195"
143,2020-10-29,Display | USA | EN,"1,640"
144,2020-10-29,Search | Brand | UK | EN,21
145,2020-10-29,Search | Brand | Brazil | EN,0
146,2020-10-30,Search | Brand | USA | EN,172
147,2020-10-30,Search | Generic | USA | EN,"2,708"
148,2020-10-30,Display | USA | EN,"1,267"
149,2020-10-30,Search | Brand | UK | EN,19
150,2020-10-30,Search | Brand | Brazil | EN,0
151,2020-10-31,Search | Brand | USA | EN,138
152,2020-10-31,Search | Generic | USA | EN,"2,185"
153,2020-10-31,Display | USA | EN,643
154,2020-10-31,Search | Brand | UK | EN,19
155,2020-10-31,Search | Brand | Brazil | EN,0
